"ID","Name","Designator","Footprint","Quantity","Manufacturer Part","Manufacturer"
"1","470p","C1,C2,C4,C6,C7","C0603","5","CC0603JRNPO9BN471","Yageo"
"2","33n","C3,C5","C0603","2","GRM2165C1H333JA01J","Murata"
"3","10u","C8,C10,C12","C1206","3","CL31A106KAHNFNE","Samsung Electro-Mechanics"
"4","0.1u","C9,C11","C1206","2","GRM3195C1H104JA05D","Murata Electronics"
"5","BZX384C11-E3-08","D1","SOD-323_L1.8-W1.3-LS2.5-RD","1","BZX384C11-E3-08","Vishay General Semiconductor - Diodes Division"
"6","DCJACK_3P2.1MM/5.5MM","J1","TENSILITY_54-00164","1","54-00164","TENSILITY INTERNATIONAL CORP"
"7","220Ω","L1,L2","L0603","2","BLM18EG221SN1D","muRata(村田)"
"8","24.9kΩ","R1","R0805_1","1","Panasonic Electronic Components","ERA-6AEB2492V"
"9","10Ω","R2","R0603_NEW","1","RCS060310R0FKEA","Vishay Dale"
"10","1Ω","R3,R8","R0603_NEW","2","RNCP0603FTD1R00","Stackpole Electronics Inc"
"11","284Ω","R4,R6,R9,R11","R0603_NEW","4","RN73R1JTTD2840B25","KOA Speer Electronics, Inc."
"12","18.2Ω","R5,R10","R0603_NEW","2","RT0603BRD0718R2L","YAGEO"
"13","*","R7","R0603_NEW","1","RN73R1JTTD39R2B25","KOA Speer Electronics, Inc."
"14","10Ω","R12","R0805_1","1","RT0805FRD0710RL","YAGEO"
"15","BGA2869,115","U1,U2","BGA2869-SOT-363_L2.0-W1.3-P0.65-LS2.1-BR","2","BGA2869,115","NXP USA Inc."
"16","TPS7B92050DBVR","U4","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1","TPS7B92050DBVR","TI"
